filename,topic_id,topic_keywords
074.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
075.txt,-1,Outlier
076.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
077.txt,-1,Outlier
078.txt,-1,Outlier
079.txt,-1,Outlier
080.txt,-1,Outlier
081.txt,-1,Outlier
082.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
083.txt,-1,Outlier
084.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
085.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
086.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
087.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
088.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
089.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
090.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
091.txt,-1,Outlier
092.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
093.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
094.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
095.txt,-1,Outlier
096.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
097.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
098.txt,-1,Outlier
099.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
100.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
101.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
102.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
103.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
104.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
105.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
106.txt,-1,Outlier
107.txt,-1,Outlier
108.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
109.txt,-1,Outlier
110.txt,-1,Outlier
111.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
112.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
113.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
114.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
115.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
116.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
117.txt,-1,Outlier
118.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
119.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
120.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
121.txt,-1,Outlier
122.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
123.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
124.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
125.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
126.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
127.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
128.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
129.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
130.txt,-1,Outlier
131.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
132.txt,-1,Outlier
133.txt,-1,Outlier
134.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
135.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
136.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
137.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
138.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
139.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
140.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
141.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
142.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
143.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
144.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
145.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
146.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
147.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
148.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
149.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
150.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
151.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
152.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
153.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
154.txt,-1,Outlier
155.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
156.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
157.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
158.txt,-1,Outlier
159.txt,-1,Outlier
160.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
161.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
162.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
163.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
164.txt,-1,Outlier
165.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
166.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
167.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
168.txt,-1,Outlier
169.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
170.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
171.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
172.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
173.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
174.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
175.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
176.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
177.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
178.txt,-1,Outlier
179.txt,-1,Outlier
180.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
181.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
182.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
183.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
184.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
185.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
186.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
187.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
188.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
189.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
190.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
191.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
192.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
193.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
194.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
195.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
196.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
197.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
198.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
199.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
200.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
201.txt,-1,Outlier
202.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
203.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
204.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
205.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
206.txt,-1,Outlier
207.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
208.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
209.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
210.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
211.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
212.txt,-1,Outlier
213.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
214.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
215.txt,1,"bigger impact, large customers, total expectation, overall impact, short answer, big impact, gross profit, big change, huge change, "
216.txt,-1,Outlier
217.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
218.txt,-1,Outlier
219.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
220.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
221.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
222.txt,0,"large customers, contract customers, competitive prices, complex customers, online model, right thing, midsized customers, new customers, entire bundle, great question"
